input,seed,cores,vertices,edges,time,trials,concurrency,result
/scratch/daint/kalvodap/evaluation_inputs/e1/32k/ba_32k_16.in,1377,1,32000,511744,294.446,4990,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/32k/ba_32k_16.in,1377,36,32000,511744,13.1673,139,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/32k/ba_32k_16.in,1377,72,32000,511744,6.66687,70,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/32k/ba_32k_16.in,1377,108,32000,511744,4.58355,47,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/32k/ba_32k_16.in,1377,144,32000,511744,3.43384,35,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/32k/ba_32k_16.in,1377,288,32000,511744,1.83773,18,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/32k/ba_32k_16.in,1377,432,32000,511744,1.32122,12,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/32k/ba_32k_16.in,1377,576,32000,511744,0.971646,9,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/32k/ba_32k_16.in,5330,16,32000,511744,25.2247,312,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/32k/ba_32k_16.in,5331,16,32000,511744,25.2082,312,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/32k/ba_32k_16.in,11415,36,32000,511744,13.2398,139,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/32k/ba_32k_16.in,11415,72,32000,511744,6.77687,70,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/32k/ba_32k_16.in,11415,108,32000,511744,4.5584,47,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/32k/ba_32k_16.in,11415,144,32000,511744,3.46713,35,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/32k/ba_32k_16.in,11415,288,32000,511744,1.80641,18,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/32k/ba_32k_16.in,11415,432,32000,511744,1.26594,12,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/32k/ba_32k_16.in,11415,576,32000,511744,1.04016,9,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/32k/ba_32k_16.in,11415,720,32000,511744,0.786758,7,low,1600
