input,seed,cores,vertices,edges,time,trials,concurrency,result
slurmstepd: *** JOB 357301 ON nid00159 CANCELLED AT 2016-10-21T23:07:20 DUE TO TIME LIMIT ***
slurmstepd: *** JOB 357312 ON nid00661 CANCELLED AT 2016-10-21T23:07:20 DUE TO TIME LIMIT ***
srun: Job step creation temporarily disabled, retrying
srun: Job step creation temporarily disabled, retrying
srun: error: Unable to create job step: Job/step already completing or completed
srun: error: Unable to create job step: Job/step already completing or completed
srun: error: slurm_receive_msg: Socket timed out on send/recv operation
srun: error: slurm_receive_msg: Socket timed out on send/recv operation
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,1377,1,64000,1023744,1351.84,10787,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,1377,36,64000,1023744,60.5404,300,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,1377,72,64000,1023744,30.6255,150,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,1377,108,64000,1023744,20.3879,100,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,1377,288,64000,1023744,7.94119,38,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,1377,432,64000,1023744,5.34239,25,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,11415,36,64000,1023744,61.1435,300,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,11415,72,64000,1023744,30.6569,150,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,11415,108,64000,1023744,20.4128,100,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,11415,144,64000,1023744,15.4497,75,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,11415,288,64000,1023744,7.94522,38,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,11415,432,64000,1023744,5.31517,25,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,11415,576,64000,1023744,4.11579,19,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,11415,720,64000,1023744,3.25973,15,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,11415,864,64000,1023744,2.84351,13,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,11415,1008,64000,1023744,2.45805,11,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,11415,1152,64000,1023744,2.25556,10,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,11415,1296,64000,1023744,2.03082,9,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,15488,1,64000,1023744,1392.14,10787,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,15488,36,64000,1023744,60.6972,300,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,15488,72,64000,1023744,30.4269,150,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,15488,108,64000,1023744,20.4113,100,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,15488,144,64000,1023744,15.4025,75,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,15488,288,64000,1023744,7.96985,38,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,15488,432,64000,1023744,5.34225,25,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,15488,576,64000,1023744,4.11008,19,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,15488,720,64000,1023744,3.29866,15,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,15488,864,64000,1023744,2.86127,13,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,15488,1008,64000,1023744,2.51285,11,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,15488,1152,64000,1023744,2.26951,10,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/64k/ba_64k_16.in,15488,1296,64000,1023744,2.06482,9,low,1600
