input,seed,cores,vertices,edges,time,trials,concurrency,result
slurmstepd: *** JOB 357298 ON nid00029 CANCELLED AT 2016-10-21T23:07:20 DUE TO TIME LIMIT ***
srun: Job step creation temporarily disabled, retrying
srun: error: Unable to create job step: Job/step already completing or completed
srun: error: slurm_receive_msg: Socket timed out on send/recv operation
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,1377,1,48000,767744,697.513,7483,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,1377,36,48000,767744,29.9143,208,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,1377,72,48000,767744,14.9687,104,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,1377,108,48000,767744,10.192,70,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,1377,144,48000,767744,7.60699,52,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,1377,288,48000,767744,3.90657,26,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,1377,432,48000,767744,2.82914,18,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,11415,36,48000,767744,29.9345,208,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,11415,72,48000,767744,15.1024,104,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,11415,108,48000,767744,10.1905,70,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,11415,144,48000,767744,7.67247,52,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,11415,288,48000,767744,3.9672,26,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,11415,432,48000,767744,2.80929,18,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,11415,576,48000,767744,2.07163,13,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,11415,720,48000,767744,1.7742,11,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,11415,864,48000,767744,1.49236,9,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,11415,1008,48000,767744,1.30808,8,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,11415,1152,48000,767744,1.20007,7,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,11415,1296,48000,767744,1.06914,6,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,15488,1,48000,767744,695.129,7483,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,15488,36,48000,767744,29.6936,208,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,15488,72,48000,767744,15.0351,104,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,15488,108,48000,767744,10.2283,70,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,15488,144,48000,767744,7.63821,52,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,15488,288,48000,767744,3.96423,26,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,15488,432,48000,767744,2.7636,18,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,15488,576,48000,767744,2.14289,13,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,15488,720,48000,767744,1.76557,11,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,15488,864,48000,767744,1.46223,9,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,15488,1008,48000,767744,1.37698,8,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,15488,1152,48000,767744,1.22687,7,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,15488,1296,48000,767744,1.12364,6,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,16928,1,48000,767744,682.172,7483,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,16928,36,48000,767744,29.9157,208,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,16928,72,48000,767744,14.9919,104,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,16928,108,48000,767744,10.158,70,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,16928,144,48000,767744,7.65801,52,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,16928,288,48000,767744,3.91622,26,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,16928,432,48000,767744,2.84782,18,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,16928,576,48000,767744,2.0853,13,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,16928,720,48000,767744,1.75695,11,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,16928,864,48000,767744,1.46472,9,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,16928,1008,48000,767744,1.49282,8,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,16928,1152,48000,767744,1.2131,7,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,16928,1296,48000,767744,1.03532,6,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,21252,1,48000,767744,691.893,7483,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,21252,36,48000,767744,29.7611,208,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,21252,72,48000,767744,14.9624,104,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,21252,108,48000,767744,10.2097,70,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,21252,144,48000,767744,7.60727,52,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,21252,288,48000,767744,3.94285,26,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,21252,432,48000,767744,2.78133,18,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,21252,576,48000,767744,2.0948,13,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,21252,720,48000,767744,1.81738,11,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,21252,864,48000,767744,1.44384,9,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,21252,1008,48000,767744,1.34253,8,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,21252,1152,48000,767744,1.20254,7,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,21252,1296,48000,767744,1.08212,6,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,23428,1,48000,767744,682.848,7483,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,23428,36,48000,767744,29.6784,208,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,23428,72,48000,767744,15.0258,104,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,23428,108,48000,767744,10.1949,70,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,23428,144,48000,767744,7.66483,52,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,23428,288,48000,767744,3.875,26,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,23428,432,48000,767744,2.79842,18,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,23428,576,48000,767744,2.05513,13,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,23428,720,48000,767744,1.76555,11,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,23428,864,48000,767744,1.50606,9,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,23428,1008,48000,767744,1.36841,8,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,23428,1152,48000,767744,1.22471,7,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,23428,1296,48000,767744,1.06775,6,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,25645,1,48000,767744,699.181,7483,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,25645,36,48000,767744,29.8988,208,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,25645,72,48000,767744,15.0336,104,low,1600
/scratch/daint/kalvodap/evaluation_inputs/e1/48k/ba_48k_16.in,25645,108,48000,767744,10.2069,70,low,1600
