input,seed,cores,vertices,edges,time,trials,concurrency,result
/scratch/daint/kalvodap/density_variation/regular_8k_16.in,0,64,8000,128000,1.37379,3,low,3200
/scratch/daint/kalvodap/density_variation/regular_8k_32.in,0,64,8000,256000,2.89406,2,low,6400
/scratch/daint/kalvodap/density_variation/regular_8k_64.in,0,64,8000,512000,5.71561,1,low,12800
/scratch/daint/kalvodap/density_variation/regular_8k_128.in,0,64,8000,1024000,14.3667,1,high,25600
/scratch/daint/kalvodap/density_variation/regular_8k_256.in,0,64,8000,2048000,19.0273,1,high,51200
/scratch/daint/kalvodap/density_variation/regular_8k_512.in,0,64,8000,4096000,13.8573,1,high,102400
/scratch/daint/kalvodap/density_variation/regular_8k_1024.in,0,64,8000,8192000,9.71765,1,high,204800
/scratch/daint/kalvodap/density_variation/regular_8k_2048.in,0,64,8000,16384000,6.78575,1,high,409600
